,Unnamed: 0,gameID,tc,timeclass,w_accuracy,b_accuracy,w_rating,b_rating,w_result,b_result,w_user,b_user,w_rapid_wins,w_rapid_losses,w_rapid_draws,w_blitz_rating,w_blitz_wins,w_blitz_losses,w_blitz_draws,w_bullet_rating,w_bullet_wins,w_bullet_losses,w_bullet_draws,w_tactics_rating,w_rush_rating,b_rapid_rating,b_rapid_wins,b_rapid_losses,b_rapid_draws,b_blitz_rating,b_blitz_wins,b_blitz_losses,b_blitz_draws,b_bullet_rating,b_bullet_wins,b_bullet_losses,b_bullet_draws,b_tactics_rating,b_rush_rating,w_rapid_rating,moves,opening
646,646,56900400429,600,rapid,NULL,NULL,955,906,win,checkmated,3yemi,bigchessboi94,82.0,100.0,12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,800.0,NULL,937.0,94.0,80.0,7.0,663.0,4.0,7.0,1.0,NULL,NULL,NULL,NULL,435.0,NULL,955.0,1. e4  1... d5  2. d4  2... dxe4  3. Nc3  3... Bf5  4. Bf4  4... Nf6  5. Nb5  5... Na6  6. Nc3  6... h6  7. Bxa6  7... bxa6  8. Nge2  8... g5  9. Be3  9... Rb8  10. b3  10... e6  11. f4  11... g4  12. g3  12... Bb4  13. Qd2  13... Nd5  14. O-O-O  14... Ba3+  15. Kb1  15... a5  16. Nxd5  16... exd5  17. Qxa5  17... Bb4  18. Qxa7  18... O-O  19. Bd2  19... e3  20. Bxb4  20... Rxb4  21. Qc5  21... Rb8  22. Nc3  22... Re8  23. Rde1  23... Qe7  24. Qxe7  24... Rxe7  25. Nxd5  25... Rd7  26. Nf6+  26... Kg7  27. Nxd7  27... Bxd7  28. Rxe3  28... Bc6  29. Rhe1  29... h5  30. Re7  30... Rc8  31. R7e5  31... f6  32. Rxh5  32... Kg6  33. Rc5  33... Bf3  34. f5+  34... Kg5  35. h4+  35... Kh5  36. Re6  36... c6  37. Rexc6  37... Bxc6  38. d5  38... Re8  39. dxc6  39... Re2  40. c7  40... Re1+  41. Kb2  41... Re3  42. c8=Q  42... Rxg3  43. Qh8#  1-0,Queens-Pawn-Opening-Blackmar-Gambit
647,647,56867957405,300+5,blitz,NULL,NULL,815,798,win,resigned,408sFinest,JulioLoera26,117.0,118.0,6.0,815.0,119.0,150.0,9.0,NULL,NULL,NULL,NULL,1626.0,13.0,1166.0,760.0,684.0,109.0,800.0,139.0,113.0,6.0,230.0,0.0,1.0,0.0,1215.0,9.0,1149.0,1. Nf3  1... d5  2. g3  2... e6  3. Bg2  3... Bd6  4. d3  4... e5  5. c3  5... Nf6  6. Nbd2  6... O-O  7. O-O  7... Ng4  8. h3  8... Nf6  9. Qc2  9... Nc6  10. e4  10... dxe4  11. dxe4  11... Nh5  12. Nc4  12... Be6  13. Nxd6  13... Qxd6  14. Rd1  14... Qe7  15. Bg5  15... f6  16. Be3  16... Rfd8  17. Qe2  17... Rxd1+  18. Rxd1  18... g6  19. Kh2  19... Bxa2  20. b3  20... Bxb3  21. Rb1  21... Qa3  22. Nd2  22... Na5  23. Qb5  23... a6  24. Qb4  24... Qa2  25. Nxb3  25... Qxb1  26. Nxa5  26... Qxb4  27. cxb4  27... Rb8  28. Bf1  28... c6  29. Bc4+  29... Kg7  30. Ba7  30... Ra8  31. Bb6  31... Rb8  32. Bc7  32... Rc8  33. Bd6  33... Rd8  34. Nxb7  34... Rd7  35. Bxa6  35... Kh6  36. Bc5  36... Rd2  37. Be3+  37... g5  38. Bxd2  1-0,Kings-Indian-Attack
648,648,56899832741,600,rapid,NULL,NULL,686,699,win,checkmated,420BigPhallus69,Pippapazzesca,306.0,314.0,29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,699.0,292.0,282.0,35.0,492.0,12.0,12.0,0.0,629.0,34.0,39.0,5.0,517.0,6.0,686.0,1. f4  1... e6  2. d4  2... d5  3. Nf3  3... f6  4. e3  4... e5  5. fxe5  5... fxe5  6. Nxe5  6... Qh4+  7. g3  7... Qf6  8. c4  8... Bd6  9. Ng4  9... Qg6  10. Bd3  10... Qg5  11. Be2  11... Nf6  12. e4  12... Qg6  13. Ne5  13... Bxe5  14. dxe5  14... Nxe4  15. Qxd5  15... c6  16. Qd3  16... Nc5  17. Qxg6+  17... hxg6  18. O-O  18... Bh3  19. Re1  19... Nba6  20. Nc3  20... O-O-O  21. Be3  21... Ne6  22. g4  22... Nb4  23. Rad1  23... Rxd1  24. Rxd1  24... Nc2  25. Rd3  25... Nb4  26. Rd6  26... Re8  27. Ne4  27... Nxa2  28. Bxa7  28... Nc1  29. Bf3  29... c5  30. Bxc5  30... Nxc5  31. Nxc5  31... Rxe5  32. Bxb7+  32... Kc7  33. Rc6+  33... Kd8  34. Ne6+  34... Kd7  35. Nf8+  35... Ke7  36. Nxg6+  36... Kd7  37. Nxe5+  37... Ke7  38. Rc7+  38... Kd6  39. Rxg7  39... Ne2+  40. Kf2  40... Nd4  41. Nf7+  41... Ke6  42. g5  42... Kf5  43. g6  43... Kf6  44. Rh7  44... Kxg6  45. Rxh3  45... Kxf7  46. Rh4  46... Nb3  47. Rg4  47... Nd2  48. Kg3  48... Kf6  49. h4  49... Nf1+  50. Kg2  50... Ne3+  51. Kf3  51... Nxg4  52. Kxg4  52... Kg6  53. c5  53... Kf7  54. c6  54... Ke8  55. c7  55... Kd7  56. c8=Q+  56... Kd6  57. h5  57... Ke5  58. h6  58... Kf6  59. Kh5  59... Kf7  60. h7  60... Kg7  61. h8=Q+  61... Kf7  62. Qcf8+  62... Ke6  63. Qhf6+  63... Kd7  64. Q8e7#  1-0,Birds-Opening
649,649,56835624229,600,rapid,NULL,NULL,1215,1155,win,resigned,4chuneee,Nakaoka07,1854.0,1810.0,126.0,1126.0,205.0,179.0,10.0,NULL,NULL,NULL,NULL,1111.0,6.0,1144.0,2593.0,2535.0,297.0,851.0,26.0,18.0,1.0,718.0,22.0,13.0,0.0,1229.0,16.0,1215.0,1. e4  1... e5  2. Nf3  2... Nc6  3. Bc4  3... h6  4. d4  4... exd4  5. Nxd4  5... Nxd4  6. Qxd4  6... d6  7. Bd2  7... Nf6  8. e5  8... c5  9. Qe3  9... dxe5  10. Qxe5+  10... Qe7  11. Qxe7+  11... Bxe7  12. O-O  12... O-O  13. Nc3  13... Be6  14. Bd3  14... c4  15. Be4  15... Nxe4  16. Nxe4  16... Bf5  17. f3  17... Bxe4  18. fxe4  18... Rfe8  19. Rae1  19... Bf6  20. c3  20... Rac8  21. Rf4  21... b5  22. Rg4  22... g5  23. Rf1  23... Kg7  24. Rg3  24... Kg6  25. Rgf3  25... Re6  26. e5  26... Bg7  27. Rxf7  27... Rxe5  28. Rxa7  28... Re2  29. Bc1  29... Rce8  30. h3  30... Re1  31. Bd2  31... R1e2  32. Bc1  32... Re1  33. Bd2  33... R1e2  34. Ra6+  34... Kh7  35. Bc1  35... Re1  36. Bd2  36... R1e2  37. Bc1  37... Re1  38. Kf2  38... R1e2+  39. Kf3  39... h5  40. Kg3  40... h4+  41. Kg4  41... Rxg2+  42. Kh5  42... Re5  43. a3  43... g4+  44. Kxh4  44... gxh3  45. Kxh3  45... Ree2  46. Rh1  46... Rgf2  47. Kg3+  47... Kg8  48. Ra8+  48... Kf7  49. Bf4  49... Rg2+  50. Kh3  50... Rxb2  51. Be3  51... Rge2  52. Bd4  52... Bxd4  53. cxd4  53... Rb3+  54. Kh4  54... Re4+  55. Kg5  55... Rg3+  56. Kf5  56... Rgg4  57. Rh7+  57... Rg7  58. Rxg7+  58... Kxg7  59. Kxe4  59... c3  60. Rc8  60... b4  61. Kd3  61... bxa3  62. Rxc3  62... a2  63. Ra3  63... Kf6  64. Rxa2  64... Ke6  65. Rd2  65... Kd5  66. Ke2  66... Kd6  67. d5  67... Kd7  68. d6  68... Kd8  69. d7  69... Kc7  70. d8=Q+  70... Kc6  71. Qd6+  71... Kb5  72. Rd5+  1-0,Italian-Game-Anti-Fried-Liver-Defense
650,650,56923261573,180,blitz,NULL,NULL,416,422,win,checkmated,jdogster,4Him24,NULL,NULL,NULL,451.0,270.0,311.0,59.0,982.0,2.0,4.0,0.0,1079.0,19.0,697.0,922.0,882.0,111.0,422.0,1896.0,1907.0,105.0,NULL,NULL,NULL,NULL,457.0,NULL,NULL,1. e4  1... e6  2. f4  2... Qh4+  3. g3  3... Qg4  4. Qxg4  4... f5  5. exf5  5... exf5  6. Qxf5  6... Ne7  7. Qe4  7... d5  8. Qe3  8... Bf5  9. Bd3  9... Bg4  10. h3  10... Bd7  11. Nc3  11... c6  12. Be2  12... Na6  13. d4  13... Nb4  14. Bd3  14... a6  15. a3  15... Nxd3+  16. Qxd3  16... Ng6  17. f5  17... Ne7  18. Bg5  18... Nxf5  19. Qe2+  19... Be7  20. O-O-O  20... Nxg3  21. Qxe7#  1-0,French-Defense-La-Bourdonnais-Variation
651,651,55820697291,600,rapid,NULL,NULL,924,825,win,resigned,4lm0na,Richard1Kimble,58.0,74.0,2.0,565.0,12.0,25.0,0.0,1039.0,0.0,1.0,0.0,1010.0,11.0,893.0,858.0,864.0,128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,924.0,1. d4  1... d6  2. Nf3  2... Nf6  3. c4  3... h5  4. Bg5  4... a5  5. Nc3  5... Bg4  6. h3  6... Bxf3  7. exf3  7... h4  8. f4  8... g6  9. Bxf6  9... exf6  10. f5  10... gxf5  11. Bd3  11... Qe7+  12. Kf1  12... Nc6  13. Nd5  13... Qd7  14. Nxf6+  1-0,Indian-Game-Tartakower-Defense
652,652,56895623137,600,rapid,NULL,NULL,1349,1344,win,checkmated,nerya2006,4pumping,457.0,338.0,162.0,911.0,35.0,40.0,6.0,1256.0,894.0,838.0,82.0,1649.0,37.0,1344.0,308.0,295.0,6.0,1019.0,78.0,97.0,2.0,776.0,324.0,312.0,6.0,1938.0,30.0,1352.0,1. e4  1... e5  2. Nf3  2... Nc6  3. Nc3  3... d6  4. d4  4... Bd7  5. d5  5... Nd4  6. Nxd4  6... exd4  7. Qxd4  7... f6  8. Bf4  8... c6  9. dxc6  9... bxc6  10. Bxd6  10... Nh6  11. Bxf8  11... Rxf8  12. O-O-O  12... Qa5  13. Qxd7#  1-0,Three-Knights-Opening
653,653,56811582373,600,rapid,NULL,NULL,1115,1123,timeout,win,4sCube,vulachu,168.0,176.0,11.0,825.0,1879.0,1914.0,101.0,NULL,NULL,NULL,NULL,1830.0,20.0,1169.0,125.0,123.0,11.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115.0,1. d4  1... d6  2. Nf3  2... Nc6  3. e4  3... e5  4. d5  4... Nce7  5. Nc3  5... Bg4  6. Be2  6... Bxf3  7. Bxf3  7... Nf6  8. O-O  8... g6  9. Bg5  9... Bg7  10. Qd2  10... h6  11. Be3  11... c6  12. a4  12... a5  13. dxc6  13... bxc6  14. Be2  14... Rb8  15. Rfb1  15... d5  16. exd5  16... cxd5  17. Bb5+  17... Nd7  18. Nxd5  18... Nxd5  19. Qxd5  19... O-O  20. Qxd7  20... Qc8  21. c4  21... Rd8  22. Qxc8  22... Rbxc8  23. b3  23... e4  24. Ra2  24... Rd3  25. Rd2  25... h5  26. Bb6  26... Rxd2  27. Bxa5  27... Rd3  28. Bb4  28... Bc3  29. Bxc3  29... Rxc3  30. a5  30... Rd8  31. a6  31... Rcd3  32. g3  32... Kf8  33. a7  33... Ra8  34. Ra1  34... Rxb3  35. Bc6  35... Rxa7  36. Rxa7  36... Rb4  37. Ra8+  37... Kg7  38. Bd5  38... f5  39. Ra7+  39... Kf6  40. Rf7+  40... Ke5  41. Rg7  41... Rb1+  42. Kg2  42... Rb2  43. Re7+  43... Kd4  44. Re6  44... e3  45. Kf3  45... exf2  46. Kg2  46... g5  47. Ra6  47... f4  48. Ra1  48... g4  49. Rd1+  49... Ke3  50. gxf4  50... Ke2  51. Rf1  51... Ke3  52. f5  52... Re2  53. f6  53... h4  54. f7  54... h3+  55. Kg3  55... Re1  56. Rxf2  56... Rg1+  57. Kh4  57... g3  58. Rf3+  58... Ke2  59. hxg3  59... h2  60. Kg4  60... h1=Q  61. f8=Q  61... Qg2  62. Rf2+  62... Qxf2  63. Qxf2+  63... Kxf2  64. c5  64... Ke3  65. c6  65... Rd1  66. c7  66... Rxd5  67. c8=Q  67... Rd4+  68. Kh3  68... Rd6  0-1,Queens-Pawn-Opening-Tartakower-Variation
654,654,56911180755,600,rapid,NULL,NULL,673,693,checkmated,win,palchess4,4th_Effa,87.0,92.0,8.0,NULL,NULL,NULL,NULL,501.0,1.0,3.0,0.0,890.0,12.0,693.0,296.0,304.0,11.0,999.0,0.0,1.0,0.0,1095.0,0.0,1.0,0.0,632.0,0.0,674.0,1. e4  1... b6  2. Nf3  2... Bb7  3. d4  3... Bxe4  4. Ng5  4... Bb7  5. Bc4  5... d5  6. Qh5  6... g6  7. Qf3  7... f6  8. Bxd5  8... Bxd5  9. Ne6  9... Qd6  10. Nxc7+  10... Qxc7  11. Qxd5  11... Nc6  12. O-O  12... Rd8  13. Qb5  13... Rxd4  14. Nc3  14... Rh4  15. Nd5  15... Qxh2#  0-1,Kings-Pawn-Opening-Owens-Defense
655,655,56922081191,180,blitz,NULL,NULL,585,664,resigned,win,rudy1979,4tunatus_1,31.0,31.0,1.0,590.0,720.0,771.0,10.0,583.0,199.0,266.0,1.0,535.0,8.0,1031.0,31.0,19.0,1.0,664.0,447.0,483.0,35.0,372.0,14.0,23.0,0.0,NULL,NULL,682.0,1. e3  1... b6  2. Bc4  2... Bb7  3. Qf3  3... e6  4. Nc3  4... Nf6  5. Ne4  5... Nxe4  6. d3  6... Nc3  7. Qxb7  7... Nc6  8. bxc3  8... Rb8  9. Qa6  9... Qf6  10. Nf3  10... Qxc3+  11. Ke2  11... Qxa1  12. Nd2  12... Qc3  13. Ne4  13... Qxc2+  14. Bd2  14... Qb2  15. Bb5  15... Qe5  16. Bxc6  16... Bc5  17. Qxa7  17... O-O  18. Bxd7  18... Ra8  19. Qxc7  19... Qxc7  20. Rc1  20... Qxd7  21. Nxc5  21... bxc5  22. Rxc5  22... Rxa2  23. Rh5  23... h6  24. e4  0-1,Vant-Kruijs-Opening
656,656,56803211479,600,rapid,NULL,NULL,1113,1044,abandoned,win,4youreyes,raduGrozea,197.0,197.0,10.0,1307.0,1.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,1012.0,220.0,196.0,21.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113.0,1. Nf3  1... e5  2. Nc3  2... d6  3. d4  3... exd4  4. Nxd4  4... g6  5. Nf3  5... Bg7  6. e4  6... Bxc3+  7. bxc3  7... Nc6  8. Bb5  8... Bd7  9. Bxc6  9... Bxc6  10. Qe2  10... Nf6  11. O-O  11... Bxe4  12. Bg5  12... d5  13. c4  13... Qd6  14. Bxf6  14... Qxf6  15. cxd5  15... Qe7  16. Qb5+  16... Qd7  17. Qxb7  17... O-O  18. Ng5  18... Qxd5  19. Qxc7  19... Qxg5  20. g3  20... Rac8  21. Qxa7  21... Rxc2  22. f4  22... Rg2+  23. Kh1  23... Qh5  24. h4  24... Rxa2+  0-1,Van-Geet-Opening-Reversed-Nimzowitsch-Variation-2.Nf3
657,657,56837983087,300+5,blitz,NULL,NULL,911,767,win,resigned,5bc,Axum,NULL,NULL,NULL,911.0,9.0,22.0,1.0,672.0,0.0,2.0,0.0,395.0,NULL,1227.0,477.0,603.0,18.0,778.0,11539.0,13090.0,416.0,1073.0,7.0,11.0,0.0,1302.0,NULL,NULL,1. c3  1... b6  2. d4  2... Bb7  3. Nd2  3... e6  4. e4  4... h6  5. h3  5... Ne7  6. Ne2  6... Ng6  7. Nc4  7... Be7  8. Ng3  8... O-O  9. Bd3  9... d6  10. O-O  10... Nd7  11. Qh5  11... a5  12. f4  12... Bh4  13. Qf3  13... Bxg3  14. Qxg3  14... d5  15. Ne5  15... Ndxe5  16. fxe5  16... Qh4  17. Qe3  17... dxe4  18. Be2  18... Rfd8  19. Bd2  19... a4  20. Be1  20... Qe7  21. Bh5  21... b5  22. Bxg6  22... fxg6  23. Qg3  23... g5  24. Qf2  24... Rf8  25. Qe2  25... Rxf1+  26. Qxf1  26... Bc6  27. a3  27... Rf8  28. Qe2  28... Be8  29. Bd2  29... c6  30. Qxe4  30... Qf7  31. Qe2  31... Qf5  32. Rf1  32... Qc2  33. Rxf8+  33... Kxf8  34. Qf2+  34... Ke7  35. Bxg5+  1-0,Saragossa-Opening
658,658,56946027689,60,bullet,67.96,75.31,738,626,timeout,win,brendanhoskins4,619Ray,391.0,297.0,53.0,933.0,631.0,565.0,41.0,772.0,1944.0,1936.0,73.0,1693.0,NULL,1128.0,666.0,598.0,57.0,602.0,39.0,78.0,2.0,626.0,336.0,356.0,4.0,2103.0,25.0,1181.0,1. e4  1... e6  2. d4  2... b6  3. Nf3  3... Bb7  4. Nc3  4... Bb4  5. Bd3  5... Bxc3+  6. bxc3  6... d5  7. Qe2  7... Nf6  8. Bg5  8... h6  9. Bxf6  9... Qxf6  10. exd5  10... Bxd5  11. c4  11... Bxf3  12. Qxf3  12... Qxf3  13. gxf3  13... O-O  14. Kd2  14... Nd7  15. d5  15... exd5  16. cxd5  16... Nc5  17. c4  17... Rad8  18. f4  18... Nxd3  19. Kxd3  19... b5  20. Kd4  20... bxc4  21. Kxc4  21... Rfe8  22. Rad1  22... Re4+  23. Kd3  23... Rxf4  24. Ke3  24... Rf6  25. Ke4  25... Re8+  26. Kd4  26... Rxf2  0-1,French-Defense-Normal-Variation
659,659,56881154231,60,bullet,NULL,NULL,418,444,timeout,win,ManukBadag,69ilovemen69,28.0,39.0,5.0,468.0,30.0,47.0,2.0,418.0,2.0,5.0,0.0,399.0,NULL,739.0,14.0,17.0,3.0,510.0,21.0,32.0,3.0,444.0,113.0,152.0,11.0,411.0,NULL,605.0,1. d4  1... e5  2. e3  2... Nf6  3. f4  3... exf4  4. g3  4... fxe3  5. h4  5... Nc6  6. c3  6... d6  7. b4  7... Bf5  8. d5  8... Bxb1  9. dxc6  9... bxc6  10. Qe2  10... Qe7  11. Qxe3  11... Qxe3+  12. Bxe3  12... Be7  13. Nf3  13... Nd5  14. Bc4  14... Nxc3  15. O-O  15... Nxa2  16. Raxb1  16... Nxb4  17. Rxb4  17... c5  18. Bxc5  18... dxc5  19. Rb3  19... O-O  20. Ne5  20... g6  21. Rbf3  21... h5  22. Rxf7  22... Rxf7  23. Rxf7  23... Kh8  24. Rxe7  24... c6  25. Bf7  25... a6  26. Nxg6+  26... Kg7  27. Ne5  27... a5  28. Nd3  28... a4  29. Bxh5+  29... Kf6  30. Re5  30... a3  31. Re1  31... a2  32. Nf4  32... a1=Q  33. Rxa1  33... Kf5  34. g4+  34... Ke5  35. g5  35... Kxf4  36. g6  36... Rg8  37. Rf1+  37... Ke5  38. Rf7  38... Ke6  0-1,Englund-Gambit-Declined-Reversed-French-Variation
660,660,56884199161,600,rapid,NULL,NULL,962,903,win,abandoned,ridingonemotions,6h05tin,368.0,334.0,37.0,NULL,NULL,NULL,NULL,231.0,4.0,15.0,0.0,621.0,NULL,903.0,822.0,835.0,58.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,981.0,1. d4  1... c6  2. e4  2... Qa5+  3. Bd2  3... Qb6  4. c3  4... Qxb2  5. Bc4  1-0,Caro-Kann-Defense-2.d4
661,661,56937565413,600,rapid,NULL,NULL,935,915,insufficient,insufficient,rojha0511,6LACKHALIFA,4582.0,4547.0,238.0,918.0,10927.0,10820.0,632.0,NULL,NULL,NULL,NULL,1405.0,NULL,915.0,1186.0,1183.0,256.0,1096.0,0.0,2.0,0.0,NULL,NULL,NULL,NULL,1034.0,6.0,904.0,1. e4  1... d5  2. e5  2... d4  3. Nf3  3... Bg4  4. d3  4... Nc6  5. c3  5... dxc3  6. Nxc3  6... Nxe5  7. Qa4+  7... Qd7  8. Nxe5  8... Qxa4  9. Nxa4  9... b5  10. Nc5  10... h5  11. Na6  11... Rc8  12. Nxg4  12... hxg4  13. g3  13... e6  14. Bf4  14... Bd6  15. Rc1  15... Bxf4  16. gxf4  16... c6  17. Nc5  17... Nf6  18. b4  18... O-O  19. h4  19... gxh3  20. Rxh3  20... Nd5  21. Rh4  21... Nxb4  22. Nd7  22... Rfd8  23. Ne5  23... f6  24. Ng6  24... Kf7  25. f5  25... exf5  26. Nf4  26... g5  27. Rh7+  27... Ke8  28. Rh8+  28... Ke7  29. Rxd8  29... Rxd8  30. Ne2  30... Nxd3+  31. Kd2  31... Nxc1+  32. Kxc1  32... f4  33. Nc3  33... b4  34. Ne4  34... f5  35. Nxg5  35... Kf6  36. Nf3  36... Rg8  37. Kb2  37... c5  38. Bc4  38... Rh8  39. a4  39... bxa3+  40. Kxa3  40... Rh3  41. Be2  41... Kg6  42. Kb3  42... Kh5  43. Kc4  43... Kg4  44. Ne5+  44... Kg5  45. Kxc5  45... Rh2  46. Nf3+  46... Kf6  47. Nxh2  47... Ke5  48. f3  48... a5  49. Kb5  49... Kd4  50. Kxa5  50... Ke3  51. Bb5  51... Kf2  52. Kb4  52... Kg3  53. Nf1+  53... Kxf3  54. Nd2+  54... Ke3  55. Bd7  55... f3  56. Nc4+  56... Ke2  57. Bxf5  57... f2  58. Bh3  58... f1=Q  59. Bxf1+  59... Kxf1  1/2-1/2,Scandinavian-Defense
662,662,56640668059,600,rapid,84.71,78.07,907,880,win,checkmated,6usayo,abhinavsingh_10,65.0,71.0,6.0,NULL,NULL,NULL,NULL,955.0,0.0,1.0,0.0,1055.0,7.0,907.0,58.0,46.0,5.0,753.0,14.0,15.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,907.0,1. d4  1... d5  2. Bf4  2... Nf6  3. e3  3... Nc6  4. Nd2  4... h6  5. Ngf3  5... a6  6. Ne5  6... Nxe5  7. Bxe5  7... Ne4  8. Nxe4  8... dxe4  9. c3  9... e6  10. Qc2  10... b6  11. Qxe4  11... Rb8  12. O-O-O  12... Bb7  13. Qd3  13... Qg5  14. Rg1  14... f6  15. Bf4  15... Qa5  16. Bxc7  16... Rc8  17. Qc4  17... Bd5  18. Bxb6  18... Qxb6  19. Qxc8+  19... Qd8  20. Qxd8+  20... Kxd8  21. Bxa6  21... Bd6  22. c4  22... Be4  23. c5  23... Bc7  24. b4  24... Ke7  25. Bd3  25... Bd5  26. a4  26... Rb8  27. b5  27... Ra8  28. Bc2  28... Bxh2  29. Rge1  29... Bxg2  30. b6  30... Rb8  31. a5  31... Kd7  32. a6  32... Ra8  33. Bd3  33... Bg3  34. fxg3  34... g5  35. e4  35... h5  36. b7  36... Rb8  37. Re2  37... Bf3  38. c6+  38... Kxc6  39. Rc2+  39... Kb6  40. Rf1  40... Bg4  41. Rc8  41... Rxb7  42. axb7  42... Kxb7  43. Rc2  43... h4  44. gxh4  44... gxh4  45. Rxf6  45... h3  46. Bf1  46... h2  47. Rxh2  47... Kc7  48. Rh7+  48... Kd6  49. e5+  49... Kd5  50. Rf4  50... Bf5  51. Rxf5  51... exf5  52. Rf7  52... Ke4  53. e6  53... Kxd4  54. e7  54... f4  55. e8=Q  55... f3  56. Rxf3  56... Kd5  57. Re3  57... Kd4  58. Re1  58... Kd5  59. Qd8+  59... Kc5  60. Re2  60... Kc4  61. Rc2+  61... Kb3  62. Qb8+  62... Ka3  63. Rb2  63... Ka4  64. Qa8#  1-0,Queens-Pawn-Opening-Accelerated-London-System
663,663,56915511679,300,blitz,NULL,NULL,764,743,resigned,win,7chidi,AlexYorfo,33.0,54.0,5.0,764.0,918.0,923.0,28.0,601.0,6.0,16.0,0.0,NULL,NULL,927.0,63.0,59.0,1.0,770.0,2349.0,2375.0,77.0,NULL,NULL,NULL,NULL,846.0,NULL,831.0,1. e4  1... c6  2. Bc4  2... d5  3. exd5  3... cxd5  4. Bb5+  4... Nc6  5. Nf3  5... Bg4  6. h3  6... Bh5  7. g4  7... Bg6  8. Ne5  8... Rc8  9. Qf3  9... f6  10. Nxc6  10... bxc6  11. Ba6  11... Rc7  12. c3  12... e5  13. Na3  13... Bc5  14. h4  14... h6  15. h5  15... Bh7  16. d3  16... Ne7  17. c4  17... O-O  18. cxd5  18... Nxd5  19. Bc4  19... Kh8  20. Nc2  20... Rd7  21. Ne3  21... Bxe3  22. Bxe3  22... Nb4  23. O-O-O  23... Nd5  24. Bxa7  24... Rxa7  25. Bxd5  25... cxd5  26. Kb1  26... Qa5  27. a3  27... Rb8  28. Kc1  28... Rc7+  29. Kb1  29... Qxa3  30. Rd2  30... e4  31. Qf4  31... exd3  32. Qxc7  32... Qb4  33. Rhd1  33... Rb7  34. Qd8+  34... Bg8  35. Qd7  35... Rxd7  0-1,Caro-Kann-Defense-Hillbilly-Attack-2...d5
664,664,56911213529,600,rapid,NULL,NULL,927,931,win,checkmated,serg953,7Huncho77,692.0,762.0,44.0,555.0,2143.0,2244.0,90.0,295.0,45.0,133.0,0.0,1796.0,NULL,931.0,76.0,73.0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450.0,NULL,927.0,1. e4  1... g6  2. f4  2... b6  3. Nf3  3... Bb7  4. Bc4  4... Bxe4  5. d3  5... Bxf3  6. Qxf3  6... c6  7. O-O  7... Bg7  8. f5  8... gxf5  9. Qxf5  9... e6  10. Qxf7#  1-0,Modern-Defense-Three-Pawns-Attack-with-2-f4
665,665,56927353469,300+5,blitz,NULL,NULL,853,912,timeout,win,7starspeed,EEGuy21,179.0,198.0,16.0,853.0,788.0,826.0,37.0,567.0,39.0,66.0,0.0,600.0,NULL,1007.0,370.0,315.0,27.0,920.0,1282.0,1190.0,48.0,504.0,729.0,963.0,6.0,421.0,NULL,1111.0,1. e4  1... e5  2. Nf3  2... Nc6  3. Bb5  3... Nd4  4. Nxd4  4... exd4  5. c3  5... a6  6. Ba4  6... b5  7. Bc2  7... Qg5  8. O-O  8... d5  9. exd5  9... Qxd5  10. Be4  10... Qxe4  0-1,Ruy-Lopez-Opening-Birds-Defense-4.Nxd4-exd4
666,666,56922703391,600,rapid,NULL,NULL,1223,1170,win,resigned,aguilliers72,7thedit,2356.0,2350.0,218.0,1103.0,2933.0,2922.0,178.0,695.0,28.0,27.0,3.0,NULL,NULL,1170.0,851.0,765.0,40.0,695.0,31.0,42.0,0.0,526.0,1.0,5.0,0.0,490.0,11.0,1197.0,1. e4  1... e5  2. Bc4  2... Nc6  3. d3  3... Nf6  4. Be3  4... b6  5. c3  5... Bb7  6. Nf3  6... Bc5  7. O-O  7... Bxe3  8. fxe3  8... O-O  9. b4  9... Ne7  10. Nxe5  10... d5  11. exd5  11... Bxd5  12. Qb3  12... Bxc4  13. Qxc4  13... a6  14. Nd2  14... b5  15. Qb3  15... Ned5  16. Rf3  16... Qd6  17. d4  17... Qe6  18. Raf1  18... Nd7  19. Nxd7  19... Qxd7  20. e4  20... Nf6  21. e5  21... Nd5  22. Ne4  22... Rae8  23. Ng5  23... Re7  24. e6  24... Qe8  25. Qxd5  25... f6  26. Ne4  26... Rxe6  27. Rxf6  27... gxf6  28. Nxf6+  28... Rxf6  29. Rxf6  29... Kg7  30. Rxe6  30... Qf8  31. Qe5+  31... Kg8  32. Re8  32... Qxe8  33. Qxe8+  33... Kg7  34. Qd7+  34... Kh6  35. Qxc7  1-0,Bishops-Opening
